id,full_name
1628988,Aaron Holiday
201950,Jrue Holiday
203200,Justin Holiday
1626178,Rondae Hollis-Jefferson
1626158,Richaun Holmes
203918,Rodney Hood
201143,Al Horford
1629659,Talen Horton-Tucker
1627863,Danuel House Jr.
2730,Dwight Howard
1629739,William Howard
1628989,Kevin Huerter
1629631,De'Andre Hunter
1628990,Chandler Hutchison
201586,Serge Ibaka
2738,Andre Iguodala
101141,Ersan Ilyasova
204060,Joe Ingles
1627742,Brandon Ingram
202681,Kyrie Irving
1628371,Jonathan Isaac
1628411,Wes Iwundu
1628402,Frank Jackson
1628367,Josh Jackson
1628382,Justin Jackson
202704,Reggie Jackson
1628991,Jaren Jackson Jr.
1629713,Justin James
2544,LeBron James
1628518,Amile Jefferson
1629610,DaQuan Jeffries
1629660,Ty Jerome
1628993,Alize Johnson
1629168,BJ Johnson
1629661,Cameron Johnson
201949,James Johnson
1629640,Keldon Johnson
1626169,Stanley Johnson
204020,Tyler Johnson
203999,Nikola Jokic
1627745,Damian Jones
1626145,Tyus Jones
1627884,Derrick Jones Jr.
201599,DeAndre Jordan
202709,Cory Joseph
1629662,Mfiondu Kabengele
1626163,Frank Kaminsky
202683,Enes Kanter
1628379,Luke Kennard
1629742,Stanton Kidd
203077,Michael Kidd-Gilchrist
1629663,Louis King
1628467,Maxi Kleber
202688,Brandon Knight
1628995,Kevin Knox II
1629723,John Konchar
1627788,Furkan Korkmaz
1628436,Luke Kornet
2594,Kyle Korver
1629066,Rodions Kurucs
1628398,Kyle Kuzma
203897,Zach LaVine
1627746,Skal Labissiere
203087,Jeremy Lamb
1629641,Romeo Langford
1629724,Vic Law
1627774,Jake Layman
1627747,Caris LeVert
1628388,TJ Leaf
1629665,Jalen Lecque
201584,Courtney Lee
1627814,Damion Lee
203458,Alex Len
202695,Kawhi Leonard
203086,Meyers Leonard
203081,Damian Lillard
1629642,Nassir Little
1626172,Kevon Looney
201572,Brook Lopez
201577,Robin Lopez
201567,Kevin Love
200768,Kyle Lowry
1627789,Timothe Luwawu-Cabarrot
1626168,Trey Lyles
1629133,Daryl Macon
203705,Josh Magette
101133,Ian Mahinmi
1627748,Thon Maker
1629611,Terance Mann
1626246,Boban Marjanovic
1628374,Lauri Markkanen
1628997,Caleb Martin
1628998,Cody Martin
1629725,Jeremiah Martin
1629103,Kelan Martin
1628412,Frank Mason
1629726,Garrison Mathews
202083,Wesley Matthews
1627775,Patrick McCaw
203468,CJ McCollum
204456,T.J. McConnell
1629667,Jalen McDaniels
203926,Doug McDermott
201580,JaVale McGee
203585,Rodney McGruder
1628035,Alfonzo McKinnie
1629162,Jordan McLaughlin
203463,Ben McLemore
203895,Jordan McRae
1629740,Nicolo Melli
1629001,De'Anthony Melton
1629002,Chimezie Metu
203114,Khris Middleton
101139,CJ Miles
203121,Darius Miller
1626259,Malcolm Miller
201988,Patty Mills
200794,Paul Millsap
1629003,Shake Milton
1628378,Donovan Mitchell
1628513,Naz Mitrou-Long
1629690,Adam Mokoka
1628370,Malik Monk
1629760,Matt Mooney
202734,E'Twaun Moore
1629630,Ja Morant
1629752,Juwan Morgan
202693,Markieff Morris
1628420,Monte Morris
202694,Marcus Morris Sr.
1628405,Johnathan Motley
1626144,Emmanuel Mudiay
1627749,Dejounte Murray
1627750,Jamal Murray
1629058,Dzanan Musa
203488,Mike Muscala
1629004,Svi Mykhailiuk
1627846,Abdel Nader
1626204,Larry Nance Jr.
203894,Shabazz Napier
2403,Nene
203526,Raul Neto
1627777,Georges Niang
203457,Nerlens Noel
1629668,Zach Norvell Jr.
1629669,Jaylen Nowell
1628373,Frank Ntilikina
1629134,Kendrick Nunn
203994,Jusuf Nurkic
1628021,David Nwaba
1626220,Royce O'Neale
203124,Kyle O'Quinn
1628400,Semi Ojeleye
1626143,Jahlil Okafor
1629059,Elie Okobo
1629006,Josh Okogie
1629644,KZ Okpala
203506,Victor Oladipo
203482,Kelly Olynyk
1629671,Miye Oni
1626224,Cedi Osman
1626162,Kelly Oubre Jr.
1629745,Tariq Owens
203953,Jabari Parker
202718,Chandler Parsons
1629672,Eric Paschall
1628394,Anzejs Pasecniks
202335,Patrick Patterson
1628383,Justin Patton
101108,Chris Paul
203901,Elfrid Payton
1627780,Gary Payton II
203658,Norvel Pelle
1629033,Theo Pinson
203486,Mason Plumlee
1627751,Jakob Poeltl
1629738,Vincent Poirier
1629044,Shamorie Ponds
1629673,Jordan Poole
1629645,Kevin Porter Jr.
1629008,Michael Porter Jr.
203490,Otto Porter Jr.
1626171,Bobby Portis
204001,Kristaps Porzingis
203939,Dwight Powell
1626181,Norman Powell
1627752,Taurean Prince
203944,Julius Randle
1629729,Josh Reaves
1629629,Cam Reddish
200755,JJ Redick
1629675,Naz Reid
1629244,Cameron Reynolds
1626196,Josh Richardson
203085,Austin Rivers
203460,Andre Roberson
1629130,Duncan Robinson
1629010,Jerome Robinson
1629620,Justin Robinson
1629011,Mitchell Robinson
203922,Glenn Robinson III
1629676,Isaiah Roby
200765,Rajon Rondo
201565,Derrick Rose
203082,Terrence Ross
1626179,Terry Rozier
201937,Ricky Rubio
1626156,D'Angelo Russell
1627734,Domantas Sabonis
1629677,Luka Samanic
203960,JaKarr Sampson
203967,Dario Saric
203107,Tomas Satoransky
1629678,Admiral Schofield
203471,Dennis Schroder
203118,Mike Scott
200757,Thabo Sefolosha
1629012,Collin Sexton
1629013,Landry Shamet
1629621,Marial Shayok
202697,Iman Shumpert
1627783,Pascal Siakam
1629735,Chris Silva
1627732,Ben Simmons
1628424,Kobi Simmons
1629014,Anfernee Simons
1629346,Alen Smailagic
203935,Marcus Smart
202397,Ish Smith
1629015,Zhaire Smith
1628372,Dennis Smith Jr.
203503,Tony Snell
1629034,Ray Spalding
1629016,Omari Spellman
1629622,Max Strus
1628410,Edmond Sumner
1628403,Caleb Swanigan
1628369,Jayson Tatum
201952,Jeff Teague
202066,Garrett Temple
1628464,Daniel Theis
202738,Isaiah Thomas
1629017,Khyri Thomas
1629744,Matt Thomas
202691,Klay Thompson
202684,Tristan Thompson
1629680,Matisse Thybulle
201229,Anthony Tolliver
1626157,Karl-Anthony Towns
1629018,Gary Trent Jr.
1629019,Allonzo Trier
200782,P.J. Tucker
1629730,Rayjon Tucker
202323,Evan Turner
1626167,Myles Turner
202685,Jonas Valanciunas
1627756,Denzel Valentine
1627832,Fred VanVleet
1629020,Jarred Vanderbilt
1629216,Gabe Vincent
203943,Noah Vonleh
202696,Nikola Vucevic
1629731,Dean Wade
1629021,Moritz Wagner
203079,Dion Waiters
202689,Kemba Walker
1629022,Lonnie Walker IV
202322,John Wall
1627820,Tyrone Wallace
1628476,Derrick Walton Jr.
202954,Brad Wanamaker
203933,T.J. Warren
1629023,P.J. Washington
1629139,Yuta Watanabe
1629682,Tremont Waters
1628778,Paul Watson
1629683,Quinndary Weatherspoon
201566,Russell Westbrook
1629632,Coby White
1628401,Derrick White
202355,Hassan Whiteside
203952,Andrew Wiggins
1629684,Grant Williams
1629140,Johnathan Williams
1629026,Kenrich Williams
101150,Lou Williams
101107,Marvin Williams
1629057,Robert Williams III
1628430,Nigel Williams-Goss
1629627,Zion Williamson
1628391,D.J. Wilson
1629685,Dylan Windler
1626159,Justise Winslow
1626174,Christian Wood
1629624,Kenny Wooten
1626153,Delon Wright
1629625,Justin Wright-Foreman
201152,Thaddeus Young
1629027,Trae Young
203469,Cody Zeller
1627790,Ante Zizic
1627826,Ivica Zubac
